epoch,accuracy,loss,val_accuracy,val_loss
0,0.35759755969047546,1.334350347518921,0.44092220067977905,1.2917646169662476
1,0.6371436715126038,1.0048433542251587,0.6657060384750366,0.9244058728218079
2,0.7998892664909363,0.5761106014251709,0.6829971075057983,0.769382894039154
3,0.8510932922363281,0.4040531814098358,0.6974063515663147,0.7675668597221375
4,0.8859673142433167,0.31342068314552307,0.6829971075057983,0.8399642109870911
5,0.9153058528900146,0.25525203347206116,0.6743515729904175,0.887054979801178
6,0.9308054447174072,0.20883572101593018,0.6887608170509338,0.935669481754303
7,0.9429836869239807,0.17275802791118622,0.6916426420211792,0.9995484948158264
8,0.9510102272033691,0.15284204483032227,0.6887608170509338,1.0837448835372925
9,0.9631884694099426,0.1267455816268921,0.6829971075057983,1.1306110620498657
10,0.9656794667243958,0.11503852903842926,0.6829971075057983,1.1787325143814087
11,0.9648491740226746,0.10908819735050201,0.6772334575653076,1.2319884300231934
12,0.972875714302063,0.09639240801334381,0.6772334575653076,1.282831072807312
13,0.9725989699363708,0.09180756658315659,0.6916426420211792,1.2826958894729614
14,0.9703847169876099,0.08774780482053757,0.6887608170509338,1.325667381286621
15,0.973706066608429,0.08066734671592712,0.680115282535553,1.3867273330688477
16,0.9731525182723999,0.08427046239376068,0.6858789920806885,1.3847057819366455
17,0.9745364189147949,0.07185021787881851,0.6858789920806885,1.4139506816864014
18,0.9753667116165161,0.07021670043468475,0.6657060384750366,1.4889370203018188
19,0.9753667116165161,0.07074102014303207,0.6772334575653076,1.4608678817749023
20,0.976473867893219,0.06122402101755142,0.6685879230499268,1.508793592453003
21,0.9759202599525452,0.06583698093891144,0.6743515729904175,1.543019413948059
22,0.9775809645652771,0.060855116695165634,0.6858789920806885,1.5542114973068237
23,0.9759202599525452,0.056145165115594864,0.680115282535553,1.5918364524841309
24,0.9784113168716431,0.05837108939886093,0.6887608170509338,1.6299490928649902
